,Unnamed: 0,word,onset,duration,trial_type,is_first_word,sequence_id
0,0,La,0.7,0.3,"{'kind': 'word', 'word': 'La'}",True,0
1,1,quatrième,1.0499999999999998,0.3,"{'kind': 'word', 'word': 'quatrième'}",False,0
2,2,planète,1.3999999999999997,0.3,"{'kind': 'word', 'word': 'planète'}",False,0
3,3,était,1.7499999999999996,0.3,"{'kind': 'word', 'word': 'était'}",False,0
4,4,celle,2.1,0.3,"{'kind': 'word', 'word': 'celle'}",False,0
5,5,du,2.45,0.3,"{'kind': 'word', 'word': 'du'}",False,0
6,6,businessman,2.799999999999999,0.3,"{'kind': 'word', 'word': 'businessman'}",False,0
7,7,Cet,3.1499999999999995,0.3,"{'kind': 'word', 'word': 'Cet'}",True,1
8,8,homme,3.499999999999999,0.3,"{'kind': 'word', 'word': 'homme'}",False,1
9,9,était,3.849999999999999,0.3,"{'kind': 'word', 'word': 'était'}",False,1
10,10,si,4.199999999999998,0.3,"{'kind': 'word', 'word': 'si'}",False,1
11,11,occupé,4.549999999999999,0.3,"{'kind': 'word', 'word': 'occupé'}",False,1
12,12,quil,4.899999999999999,0.3,"{'kind': 'word', 'word': 'quil'}",False,1
13,13,ne,5.249999999999998,0.3,"{'kind': 'word', 'word': 'ne'}",False,1
14,14,leva,5.599999999999999,0.3,"{'kind': 'word', 'word': 'leva'}",False,1
15,15,même,5.949999999999998,0.3,"{'kind': 'word', 'word': 'même'}",False,1
16,16,pas,6.299999999999998,0.3,"{'kind': 'word', 'word': 'pas'}",False,1
17,17,la,6.649999999999998,0.3,"{'kind': 'word', 'word': 'la'}",False,1
18,18,tête,6.999999999999997,0.3,"{'kind': 'word', 'word': 'tête'}",False,1
19,19,à,7.349999999999998,0.3,"{'kind': 'word', 'word': 'à'}",False,1
20,20,larrivée,7.699999999999997,0.3,"{'kind': 'word', 'word': 'larrivée'}",False,1
21,21,du,8.049999999999997,0.3,"{'kind': 'word', 'word': 'du'}",False,1
22,22,petit,8.399999999999997,0.3,"{'kind': 'word', 'word': 'petit'}",False,1
23,23,prince,8.749999999999996,0.3,"{'kind': 'word', 'word': 'prince'}",False,1
24,24,bonjour,9.099999999999996,0.3,"{'kind': 'word', 'word': 'bonjour'}",False,1
25,25,lui,9.449999999999996,0.3,"{'kind': 'word', 'word': 'lui'}",False,1
26,26,dit,9.799999999999995,0.3,"{'kind': 'word', 'word': 'dit'}",False,1
27,27,celuici,10.149999999999997,0.3,"{'kind': 'word', 'word': 'celuici'}",False,1
28,28,Votre,10.499999999999996,0.3,"{'kind': 'word', 'word': 'Votre'}",True,2
29,29,cigarette,10.849999999999996,0.3,"{'kind': 'word', 'word': 'cigarette'}",False,2
30,30,est,11.199999999999996,0.3,"{'kind': 'word', 'word': 'est'}",False,2
31,31,éteinte,11.549999999999995,0.3,"{'kind': 'word', 'word': 'éteinte'}",False,2
32,32,trois,11.899999999999997,0.3,"{'kind': 'word', 'word': 'trois'}",False,2
33,33,et,12.249999999999996,0.3,"{'kind': 'word', 'word': 'et'}",False,2
34,34,deux,12.599999999999994,0.3,"{'kind': 'word', 'word': 'deux'}",False,2
35,35,font,12.949999999999994,0.3,"{'kind': 'word', 'word': 'font'}",False,2
36,36,cinq,13.299999999999994,0.3,"{'kind': 'word', 'word': 'cinq'}",False,2
37,37,Cinq,13.649999999999997,0.3,"{'kind': 'word', 'word': 'Cinq'}",True,3
38,38,et,13.999999999999996,0.3,"{'kind': 'word', 'word': 'et'}",False,3
39,39,sept,14.349999999999994,0.3,"{'kind': 'word', 'word': 'sept'}",False,3
40,40,douze,14.699999999999994,0.3,"{'kind': 'word', 'word': 'douze'}",False,3
41,41,Douze,15.049999999999994,0.3,"{'kind': 'word', 'word': 'Douze'}",True,4
42,42,et,15.399999999999991,0.3,"{'kind': 'word', 'word': 'et'}",False,4
43,43,trois,15.749999999999991,0.3,"{'kind': 'word', 'word': 'trois'}",False,4
44,44,quinze,16.099999999999994,0.3,"{'kind': 'word', 'word': 'quinze'}",False,4
45,45,Bonjour,16.449999999999996,0.3,"{'kind': 'word', 'word': 'Bonjour'}",True,5
46,46,Quinze,16.799999999999994,0.3,"{'kind': 'word', 'word': 'Quinze'}",True,6
47,47,et,17.14999999999999,0.3,"{'kind': 'word', 'word': 'et'}",False,6
48,48,sept,17.499999999999993,0.3,"{'kind': 'word', 'word': 'sept'}",False,6
49,49,vingtdeux,17.849999999999994,0.3,"{'kind': 'word', 'word': 'vingtdeux'}",False,6
50,50,Vingtdeux,18.199999999999992,0.3,"{'kind': 'word', 'word': 'Vingtdeux'}",True,7
51,51,et,18.55,0.3,"{'kind': 'word', 'word': 'et'}",False,7
52,52,six,18.89999999999999,0.3,"{'kind': 'word', 'word': 'six'}",False,7
53,53,vingthuit,19.25,0.3,"{'kind': 'word', 'word': 'vingthuit'}",False,7
54,54,Pas,19.59999999999999,0.3,"{'kind': 'word', 'word': 'Pas'}",True,8
55,55,le,19.949999999999992,0.3,"{'kind': 'word', 'word': 'le'}",False,8
56,56,temps,20.3,0.3,"{'kind': 'word', 'word': 'temps'}",False,8
57,57,de,20.64999999999999,0.3,"{'kind': 'word', 'word': 'de'}",False,8
58,58,la,21.0,0.3,"{'kind': 'word', 'word': 'la'}",False,8
59,59,rallumer,21.34999999999999,0.3,"{'kind': 'word', 'word': 'rallumer'}",False,8
60,60,Vingtsix,21.699999999999992,0.3,"{'kind': 'word', 'word': 'Vingtsix'}",True,9
61,61,et,22.04999999999999,0.3,"{'kind': 'word', 'word': 'et'}",False,9
62,62,cinq,22.39999999999999,0.3,"{'kind': 'word', 'word': 'cinq'}",False,9
63,63,trente,22.74999999999999,0.3,"{'kind': 'word', 'word': 'trente'}",False,9
64,64,et,23.09999999999999,0.3,"{'kind': 'word', 'word': 'et'}",False,9
65,65,un,23.449999999999992,0.3,"{'kind': 'word', 'word': 'un'}",False,9
66,66,Ouf,23.79999999999999,0.3,"{'kind': 'word', 'word': 'Ouf'}",True,10
67,67,Ça,24.14999999999999,0.3,"{'kind': 'word', 'word': 'Ça'}",True,11
68,68,fait,24.49999999999999,0.3,"{'kind': 'word', 'word': 'fait'}",False,11
69,69,donc,24.84999999999999,0.3,"{'kind': 'word', 'word': 'donc'}",False,11
70,70,cinq,25.19999999999999,0.3,"{'kind': 'word', 'word': 'cinq'}",False,11
71,71,cent,25.54999999999999,0.3,"{'kind': 'word', 'word': 'cent'}",False,11
72,72,un,25.899999999999988,0.3,"{'kind': 'word', 'word': 'un'}",False,11
73,73,millions,26.24999999999999,0.3,"{'kind': 'word', 'word': 'millions'}",False,11
74,74,six,26.59999999999999,0.3,"{'kind': 'word', 'word': 'six'}",False,11
75,75,cent,26.94999999999999,0.3,"{'kind': 'word', 'word': 'cent'}",False,11
76,76,vingtdeux,27.29999999999999,0.3,"{'kind': 'word', 'word': 'vingtdeux'}",False,11
77,77,mille,27.649999999999988,0.3,"{'kind': 'word', 'word': 'mille'}",False,11
78,78,sept,27.99999999999999,0.3,"{'kind': 'word', 'word': 'sept'}",False,11
79,79,cent,28.349999999999987,0.3,"{'kind': 'word', 'word': 'cent'}",False,11
80,80,trente,28.69999999999999,0.3,"{'kind': 'word', 'word': 'trente'}",False,11
81,81,et,29.04999999999999,0.3,"{'kind': 'word', 'word': 'et'}",False,11
82,82,un,29.399999999999988,0.3,"{'kind': 'word', 'word': 'un'}",False,11
83,83,cinq,29.74999999999999,0.3,"{'kind': 'word', 'word': 'cinq'}",False,11
84,84,cents,30.099999999999987,0.3,"{'kind': 'word', 'word': 'cents'}",False,11
85,85,millions,30.44999999999999,0.3,"{'kind': 'word', 'word': 'millions'}",False,11
86,86,de,30.799999999999983,0.3,"{'kind': 'word', 'word': 'de'}",False,11
87,87,quoi,31.149999999999988,0.3,"{'kind': 'word', 'word': 'quoi'}",False,11
88,88,hein,31.49999999999999,0.3,"{'kind': 'word', 'word': 'hein'}",False,11
89,89,Tu,31.849999999999987,0.3,"{'kind': 'word', 'word': 'Tu'}",True,12
90,90,es,32.19999999999999,0.3,"{'kind': 'word', 'word': 'es'}",False,12
91,91,toujours,32.54999999999999,0.3,"{'kind': 'word', 'word': 'toujours'}",False,12
92,92,là,32.89999999999999,0.3,"{'kind': 'word', 'word': 'là'}",False,12
93,93,Cinq,33.24999999999999,0.3,"{'kind': 'word', 'word': 'Cinq'}",True,13
94,94,cent,33.59999999999999,0.3,"{'kind': 'word', 'word': 'cent'}",False,13
95,95,un,33.94999999999999,0.3,"{'kind': 'word', 'word': 'un'}",False,13
96,96,millions,34.29999999999999,0.3,"{'kind': 'word', 'word': 'millions'}",False,13
97,97,de,34.64999999999999,0.3,"{'kind': 'word', 'word': 'de'}",False,13
98,98,Je,34.99999999999999,0.3,"{'kind': 'word', 'word': 'Je'}",True,14
99,99,ne,35.34999999999999,0.3,"{'kind': 'word', 'word': 'ne'}",False,14
100,100,sais,35.69999999999999,0.3,"{'kind': 'word', 'word': 'sais'}",False,14
101,101,plus,36.04999999999999,0.3,"{'kind': 'word', 'word': 'plus'}",False,14
102,102,Jai,36.39999999999999,0.3,"{'kind': 'word', 'word': 'Jai'}",True,15
103,103,tellement,36.74999999999999,0.3,"{'kind': 'word', 'word': 'tellement'}",False,15
104,104,de,37.09999999999999,0.3,"{'kind': 'word', 'word': 'de'}",False,15
105,105,travail,37.44999999999999,0.3,"{'kind': 'word', 'word': 'travail'}",False,15
106,106,Je,37.79999999999999,0.3,"{'kind': 'word', 'word': 'Je'}",True,16
107,107,suis,38.14999999999999,0.3,"{'kind': 'word', 'word': 'suis'}",False,16
108,108,sérieux,38.49999999999999,0.3,"{'kind': 'word', 'word': 'sérieux'}",False,16
109,109,moi,38.84999999999999,0.3,"{'kind': 'word', 'word': 'moi'}",False,16
110,110,je,39.19999999999999,0.3,"{'kind': 'word', 'word': 'je'}",False,16
111,111,ne,39.54999999999999,0.3,"{'kind': 'word', 'word': 'ne'}",False,16
112,112,mamuse,39.89999999999999,0.3,"{'kind': 'word', 'word': 'mamuse'}",False,16
113,113,pas,40.24999999999999,0.3,"{'kind': 'word', 'word': 'pas'}",False,16
114,114,à,40.59999999999999,0.3,"{'kind': 'word', 'word': 'à'}",False,16
115,115,des,40.94999999999999,0.3,"{'kind': 'word', 'word': 'des'}",False,16
116,116,balivernes,41.29999999999999,0.3,"{'kind': 'word', 'word': 'balivernes'}",False,16
117,117,Deux,41.649999999999984,0.3,"{'kind': 'word', 'word': 'Deux'}",True,17
118,118,et,41.99999999999999,0.3,"{'kind': 'word', 'word': 'et'}",False,17
119,119,cinq,42.34999999999999,0.3,"{'kind': 'word', 'word': 'cinq'}",False,17
